# 377.96,683.62
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2453986.51647583,-1.878067,0.000587
2453986.52728554,-1.886808,0.000417
2453986.53809524,-1.891250,0.000407
2453986.54758556,-1.897982,0.000484
2453986.55498107,-1.883650,0.000446
2453986.56231871,-1.871582,0.000383
2453986.56964477,-1.877570,0.000381
2453986.57699398,-1.895222,0.000346
2453986.58435477,-1.917359,0.000352
2453986.59169241,-1.939083,0.000329
2453986.59904162,-1.957445,0.000320
2453986.60641398,-1.966368,0.000328
2453986.61375161,-1.955289,0.000348
2453986.62110082,-1.942824,0.000341
2453986.62845004,-1.944464,0.000329
2453986.63578767,-1.948776,0.000350
2453986.64316003,-1.954273,0.000367
2453986.65050924,-1.956769,0.000399
2453986.65805520,-1.962681,0.000384
2453986.66539284,-1.966863,0.000371
