# 520.05,569.71
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454301.59076060,-1.919311,0.001519
2454301.59458010,-1.913677,0.001486
2454301.59841118,-1.909942,0.001514
2454301.60224225,-1.904046,0.001499
2454301.60608490,-1.909910,0.001562
2454301.60991598,-1.914731,0.001492
2454301.61374705,-1.925084,0.001466
2454301.61757812,-1.938919,0.001457
2454301.62139762,-1.950641,0.001432
2454301.62522870,-1.957740,0.001626
2454301.62907135,-1.961223,0.001848
2454301.63290242,-1.980520,0.001350
2454301.63673349,-1.987825,0.001369
2454301.64056457,-1.991870,0.001357
2454301.64439564,-1.995975,0.001332
2454301.64822671,-1.994483,0.001319
2454301.65205779,-1.986470,0.001325
2454301.65588886,-1.976004,0.001355
2454301.65971994,-1.971612,0.001348
2454301.66355101,-1.974211,0.001357
2454301.66738208,-1.977653,0.001371
2454301.67121316,-1.977962,0.001393
2454301.67504423,-1.977884,0.001371
2454301.68886387,-1.985278,0.001380
2454301.69269495,-1.986869,0.001283
2454301.69652602,-1.993581,0.001309
2454301.70035710,-1.992429,0.001354
2454301.70419974,-1.990607,0.001363
2454301.70803082,-1.997324,0.001358
2454301.71186189,-1.997780,0.001342
2454301.71569296,-2.002433,0.001363
2454301.71952404,-2.003579,0.001524
2454301.72335511,-2.007790,0.001576
2454301.72718618,-2.009563,0.001369
2454301.73101726,-2.008965,0.001330
2454301.73484833,-2.010813,0.001331
2454301.73867940,-2.013364,0.001329
2454301.74251048,-2.015461,0.001355
2454301.74634155,-2.018925,0.001328
