# 520.05,569.71
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454341.49222512,-1.899829,0.001739
2454341.49605602,-1.899922,0.001629
2454341.49988691,-1.902827,0.001708
2454341.50372937,-1.901886,0.001746
2454341.50756026,-1.912142,0.001728
2454341.51140273,-1.906589,0.001746
2454341.51524519,-1.915398,0.001675
2454341.51907608,-1.916310,0.001713
2454341.52291855,-1.908489,0.001702
2454341.52674944,-1.897902,0.001643
2454341.53058033,-1.893457,0.001349
2454341.53441122,-1.883525,0.001341
2454341.53825368,-1.889101,0.001323
2454341.54209615,-1.896647,0.001291
2454341.54592704,-1.905393,0.001323
2454341.54975793,-1.918162,0.001325
2454341.55358882,-1.927808,0.001317
2454341.55741971,-1.938845,0.001337
2454341.56126217,-1.952414,0.001360
2454341.56509306,-1.961019,0.001420
2454341.56892395,-1.970718,0.001392
2454341.57275485,-1.979014,0.001365
2454341.57659731,-1.982658,0.001404
2454341.58042820,-1.981942,0.001363
2454341.58425909,-1.975144,0.001374
2454341.58808998,-1.965076,0.001308
2454341.59192087,-1.961545,0.001436
2454341.59575176,-1.962747,0.001581
2454341.59959422,-1.959402,0.001412
2454341.60342512,-1.963663,0.001342
2454341.60725601,-1.966151,0.001469
2454341.61109847,-1.962652,0.001681
2454341.62311196,-1.975205,0.002039
2454341.62695442,-1.978378,0.002037
2454341.63078531,-1.980743,0.001904
2454341.63461620,-1.977545,0.001995
2454341.63844709,-1.985666,0.001946
2454341.64228956,-1.981457,0.001890
2454341.64612045,-1.988915,0.001831
2454341.64996291,-1.993726,0.001826
