# 633.77,683.62
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2453986.51647583,-1.987704,0.002238
2453986.52728554,-1.987037,0.001676
2453986.53809524,-1.994822,0.001652
2453986.54758556,-1.998393,0.001775
2453986.55498107,-1.983225,0.001795
2453986.56231871,-1.969586,0.001566
2453986.56964477,-1.977682,0.001557
2453986.57699398,-1.994109,0.001246
2453986.58435477,-2.019710,0.001456
2453986.59169241,-2.039745,0.001333
2453986.59904162,-2.061674,0.001319
2453986.60641398,-2.070691,0.001367
2453986.61375161,-2.058308,0.001429
2453986.62110082,-2.044343,0.001406
2453986.62845004,-2.040527,0.001339
2453986.63578767,-2.049879,0.001433
2453986.64316003,-2.051873,0.001454
2453986.65050924,-2.055372,0.001609
2453986.65805520,-2.070546,0.001540
2453986.66539284,-2.066616,0.001489
