# 633.77,683.62
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454341.49222512,-1.943716,0.002392
2454341.49605602,-1.962095,0.002334
2454341.49988691,-1.956021,0.002413
2454341.50372937,-1.960636,0.002465
2454341.50756026,-1.969094,0.002285
2454341.51140273,-1.970756,0.002470
2454341.51524519,-1.962074,0.002366
2454341.51907608,-1.966785,0.002433
2454341.52291855,-1.964566,0.002343
2454341.52674944,-1.952669,0.002358
2454341.53058033,-1.954410,0.002001
2454341.53441122,-1.941875,0.001810
2454341.53825368,-1.943284,0.002051
2454341.54209615,-1.951852,0.001988
2454341.54592704,-1.960814,0.001856
2454341.54975793,-1.974269,0.002054
2454341.55358882,-1.987579,0.001988
2454341.55741971,-1.989328,0.002012
2454341.56126217,-2.005401,0.002041
2454341.56509306,-2.020965,0.002103
2454341.56892395,-2.021392,0.002073
2454341.57275485,-2.034406,0.002038
2454341.57659731,-2.049593,0.002087
2454341.58042820,-2.048143,0.002051
2454341.58425909,-2.034809,0.002060
2454341.58808998,-2.031428,0.001981
2454341.59192087,-2.018686,0.002096
2454341.59575176,-2.012362,0.002293
2454341.59959422,-2.023195,0.002077
2454341.60342512,-2.026454,0.001954
2454341.60725601,-2.020660,0.002146
2454341.61109847,-2.025514,0.002300
2454341.62311196,-2.015474,0.002667
2454341.62695442,-2.027160,0.002707
2454341.63078531,-2.034502,0.002532
2454341.63461620,-2.045612,0.002629
2454341.63844709,-2.034856,0.002632
2454341.64228956,-2.046369,0.002592
2454341.64612045,-2.045953,0.002450
2454341.64996291,-2.049045,0.002512
