# 568.63,627.83
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454301.59076060,-1.952248,0.001586
2454301.59458010,-1.942036,0.001574
2454301.59841118,-1.932959,0.001613
2454301.60224225,-1.939894,0.001591
2454301.60608490,-1.943993,0.001630
2454301.60991598,-1.953157,0.001567
2454301.61374705,-1.955954,0.001572
2454301.61757812,-1.968490,0.001550
2454301.62139762,-1.983671,0.001507
2454301.62522870,-1.992837,0.001684
2454301.62907135,-1.996499,0.001880
2454301.63290242,-2.009122,0.001455
2454301.63673349,-2.021069,0.001487
2454301.64056457,-2.029006,0.001477
2454301.64439564,-2.033428,0.001445
2454301.64822671,-2.027010,0.001417
2454301.65205779,-2.020409,0.001411
2454301.65588886,-2.005661,0.001480
2454301.65971994,-2.001023,0.001471
2454301.66355101,-2.014765,0.001472
2454301.66738208,-2.004141,0.001538
2454301.67121316,-2.008980,0.001523
2454301.67504423,-2.013146,0.001485
2454301.68886387,-2.021463,0.001497
2454301.69269495,-2.020863,0.001411
2454301.69652602,-2.021487,0.001441
2454301.70035710,-2.026274,0.001487
2454301.70419974,-2.027099,0.001449
2454301.70803082,-2.033137,0.001493
2454301.71186189,-2.033609,0.001468
2454301.71569296,-2.034267,0.001435
2454301.71952404,-2.033229,0.001641
2454301.72335511,-2.037197,0.001690
2454301.72718618,-2.040877,0.001505
2454301.73101726,-2.043136,0.001468
2454301.73484833,-2.050356,0.001462
2454301.73867940,-2.040323,0.001453
2454301.74251048,-2.051671,0.001484
2454301.74634155,-2.050846,0.001471
