# 568.63,627.83
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2453986.51647583,-1.950199,0.001710
2453986.52728554,-1.959820,0.001182
2453986.53809524,-1.965779,0.001178
2453986.54758556,-1.973814,0.001407
2453986.55498107,-1.955832,0.001291
2453986.56231871,-1.948801,0.001120
2453986.56964477,-1.950602,0.001110
2453986.57699398,-1.970091,0.001025
2453986.58435477,-1.992309,0.001026
2453986.59169241,-2.012267,0.000965
2453986.59904162,-2.032993,0.000931
2453986.60641398,-2.041478,0.000962
2453986.61375161,-2.031421,0.000986
2453986.62110082,-2.015173,0.000990
2453986.62845004,-2.017565,0.000954
2453986.63578767,-2.024119,0.001005
2453986.64316003,-2.029378,0.001057
2453986.65050924,-2.030808,0.001148
2453986.65805520,-2.033575,0.001103
2453986.66539284,-2.039214,0.001062
