# 377.96,683.62
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454341.49222512,-1.861619,0.000626
2454341.49605602,-1.862510,0.000593
2454341.49988691,-1.862725,0.000612
2454341.50372937,-1.865134,0.000622
2454341.50756026,-1.869108,0.000613
2454341.51140273,-1.868264,0.000622
2454341.51524519,-1.871811,0.000602
2454341.51907608,-1.872582,0.000608
2454341.52291855,-1.869265,0.000607
2454341.52674944,-1.859723,0.000592
2454341.53058033,-1.854749,0.000499
2454341.53441122,-1.848274,0.000495
2454341.53825368,-1.850351,0.000501
2454341.54209615,-1.856668,0.000486
2454341.54592704,-1.866070,0.000489
2454341.54975793,-1.876149,0.000499
2454341.55358882,-1.888224,0.000492
2454341.55741971,-1.899592,0.000500
2454341.56126217,-1.912312,0.000506
2454341.56509306,-1.923009,0.000525
2454341.56892395,-1.931862,0.000517
2454341.57275485,-1.939406,0.000508
2454341.57659731,-1.946102,0.000521
2454341.58042820,-1.943819,0.000506
2454341.58425909,-1.936253,0.000510
2454341.58808998,-1.927186,0.000486
2454341.59192087,-1.921523,0.000531
2454341.59575176,-1.922669,0.000570
2454341.59959422,-1.923387,0.000524
2454341.60342512,-1.925667,0.000517
2454341.60725601,-1.928151,0.000542
2454341.61109847,-1.928440,0.000542
2454341.62311196,-1.937210,0.000694
2454341.62695442,-1.940132,0.000695
2454341.63078531,-1.942008,0.000668
2454341.63461620,-1.944239,0.000686
2454341.63844709,-1.945456,0.000675
2454341.64228956,-1.948640,0.000666
2454341.64612045,-1.948834,0.000645
2454341.64996291,-1.951894,0.000646
