# 520.05,569.71
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2453986.51647583,-1.910906,0.001612
2453986.52728554,-1.924653,0.001121
2453986.53809524,-1.926828,0.001084
2453986.54758556,-1.932165,0.001314
2453986.55498107,-1.919398,0.001190
2453986.56231871,-1.909567,0.001019
2453986.56964477,-1.917782,0.001012
2453986.57699398,-1.932746,0.000909
2453986.58435477,-1.954469,0.000929
2453986.59169241,-1.973453,0.000869
2453986.59904162,-1.994238,0.000839
2453986.60641398,-2.005788,0.000865
2453986.61375161,-1.994015,0.000913
2453986.62110082,-1.979279,0.000894
2453986.62845004,-1.980804,0.000863
2453986.63578767,-1.984302,0.000917
2453986.64316003,-1.993317,0.000964
2453986.65050924,-1.994808,0.001059
2453986.65805520,-1.996999,0.001010
2453986.66539284,-2.003673,0.000955
