# 468.06,521.44
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2453986.51647583,-1.881126,0.001246
2453986.52728554,-1.893064,0.000821
2453986.53809524,-1.897601,0.000791
2453986.54758556,-1.903353,0.000985
2453986.55498107,-1.888964,0.000882
2453986.56231871,-1.877347,0.000750
2453986.56964477,-1.883256,0.000740
2453986.57699398,-1.902164,0.000678
2453986.58435477,-1.922780,0.000681
2453986.59169241,-1.946510,0.000635
2453986.59904162,-1.962468,0.000616
2453986.60641398,-1.971334,0.000634
2453986.61375161,-1.960149,0.000673
2453986.62110082,-1.950566,0.000656
2453986.62845004,-1.950154,0.000634
2453986.63578767,-1.953164,0.000676
2453986.64316003,-1.959004,0.000712
2453986.65050924,-1.960390,0.000780
2453986.65805520,-1.966327,0.000748
2453986.66539284,-1.969462,0.000724
