# 468.06,521.44
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454341.49222512,-1.869686,0.001322
2454341.49605602,-1.867616,0.001243
2454341.49988691,-1.870211,0.001295
2454341.50372937,-1.875740,0.001321
2454341.50756026,-1.874693,0.001307
2454341.51140273,-1.880436,0.001320
2454341.51524519,-1.880145,0.001266
2454341.51907608,-1.881107,0.001266
2454341.52291855,-1.877456,0.001285
2454341.52674944,-1.869807,0.001236
2454341.53058033,-1.862657,0.001009
2454341.53441122,-1.854955,0.000999
2454341.53825368,-1.861387,0.001011
2454341.54209615,-1.867283,0.000982
2454341.54592704,-1.873908,0.000978
2454341.54975793,-1.884668,0.001014
2454341.55358882,-1.893831,0.000987
2454341.55741971,-1.907667,0.001005
2454341.56126217,-1.918043,0.001020
2454341.56509306,-1.929644,0.001063
2454341.56892395,-1.942239,0.001044
2454341.57275485,-1.947563,0.001024
2454341.57659731,-1.950302,0.001054
2454341.58042820,-1.950546,0.001027
2454341.58425909,-1.944317,0.001026
2454341.58808998,-1.933914,0.000950
2454341.59192087,-1.927551,0.001074
2454341.59575176,-1.932681,0.001189
2454341.59959422,-1.930327,0.001068
2454341.60342512,-1.932263,0.001058
2454341.60725601,-1.935257,0.001108
2454341.61109847,-1.935776,0.001295
2454341.62311196,-1.942687,0.001591
2454341.62695442,-1.948751,0.001578
2454341.63078531,-1.946514,0.001475
2454341.63461620,-1.952430,0.001549
2454341.63844709,-1.949658,0.001494
2454341.64228956,-1.956679,0.001464
2454341.64612045,-1.954662,0.001397
2454341.64996291,-1.956719,0.001388
