# 377.96,683.62
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454301.59076060,-1.883986,0.000558
2454301.59458010,-1.877562,0.000554
2454301.59841118,-1.868701,0.000558
2454301.60224225,-1.866271,0.000540
2454301.60608490,-1.870920,0.000570
2454301.60991598,-1.878812,0.000548
2454301.61374705,-1.886345,0.000543
2454301.61757812,-1.897593,0.000535
2454301.62139762,-1.908023,0.000528
2454301.62522870,-1.921315,0.000590
2454301.62907135,-1.922013,0.000653
2454301.63290242,-1.939571,0.000499
2454301.63673349,-1.946982,0.000507
2454301.64056457,-1.954859,0.000504
2454301.64439564,-1.957619,0.000494
2454301.64822671,-1.952886,0.000489
2454301.65205779,-1.943599,0.000489
2454301.65588886,-1.933722,0.000504
2454301.65971994,-1.931651,0.000497
2454301.66355101,-1.933273,0.000501
2454301.66738208,-1.935437,0.000517
2454301.67121316,-1.937292,0.000517
2454301.67504423,-1.937891,0.000506
2454301.68886387,-1.943839,0.000506
2454301.69269495,-1.946430,0.000475
2454301.69652602,-1.949130,0.000486
2454301.70035710,-1.952154,0.000501
2454301.70419974,-1.954088,0.000500
2454301.70803082,-1.957632,0.000502
2454301.71186189,-1.958660,0.000496
2454301.71569296,-1.960223,0.000501
2454301.71952404,-1.964934,0.000555
2454301.72335511,-1.965852,0.000572
2454301.72718618,-1.965719,0.000503
2454301.73101726,-1.967927,0.000492
2454301.73484833,-1.969704,0.000495
2454301.73867940,-1.970714,0.000491
2454301.74251048,-1.973575,0.000498
2454301.74634155,-1.976370,0.000495
