# 377.96,421.46
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2453986.51647583,-1.795350,0.001313
2453986.52728554,-1.794472,0.001167
2453986.53809524,-1.802831,0.001149
2453986.54758556,-1.810740,0.001245
2453986.55498107,-1.795714,0.001203
2453986.56231871,-1.782902,0.001082
2453986.56964477,-1.785187,0.001086
2453986.57699398,-1.805750,0.001039
2453986.58435477,-1.826808,0.001036
2453986.59169241,-1.849133,0.000993
2453986.59904162,-1.867833,0.000976
2453986.60641398,-1.873857,0.001000
2453986.61375161,-1.861059,0.001050
2453986.62110082,-1.851466,0.001027
2453986.62845004,-1.853819,0.001003
2453986.63578767,-1.860447,0.001052
2453986.64316003,-1.862539,0.001084
2453986.65050924,-1.866936,0.001134
2453986.65805520,-1.870744,0.001120
2453986.66539284,-1.875780,0.001100
