# 377.96,421.46
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454341.49222512,-1.768181,0.001357
2454341.49605602,-1.769641,0.001342
2454341.49988691,-1.781422,0.001345
2454341.50372937,-1.771866,0.001353
2454341.50756026,-1.782003,0.001347
2454341.51140273,-1.777037,0.001364
2454341.51524519,-1.791358,0.001342
2454341.51907608,-1.789002,0.001354
2454341.52291855,-1.779875,0.001351
2454341.52674944,-1.767470,0.001344
2454341.53058033,-1.762003,0.001283
2454341.53441122,-1.760934,0.001288
2454341.53825368,-1.755591,0.001276
2454341.54209615,-1.766822,0.001273
2454341.54592704,-1.776264,0.001276
2454341.54975793,-1.779149,0.001291
2454341.55358882,-1.798158,0.001277
2454341.55741971,-1.811824,0.001291
2454341.56126217,-1.821755,0.001291
2454341.56509306,-1.831638,0.001308
2454341.56892395,-1.841655,0.001297
2454341.57275485,-1.843725,0.001297
2454341.57659731,-1.854722,0.001301
2454341.58042820,-1.850357,0.001294
2454341.58425909,-1.842299,0.001297
2454341.58808998,-1.832244,0.001278
2454341.59192087,-1.832972,0.001326
2454341.59575176,-1.834877,0.001347
2454341.59959422,-1.831738,0.001311
2454341.60342512,-1.833373,0.001311
2454341.60725601,-1.839389,0.001327
2454341.61109847,-1.837563,0.000903
2454341.62311196,-1.851053,0.001339
2454341.62695442,-1.841822,0.001335
2454341.63078531,-1.855158,0.001352
2454341.63461620,-1.858342,0.001344
2454341.63844709,-1.856139,0.001350
2454341.64228956,-1.853960,0.001351
2454341.64612045,-1.851946,0.001353
2454341.64996291,-1.870656,0.001368
