# 568.63,627.83
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454341.49222512,-1.942679,0.001862
2454341.49605602,-1.941953,0.001754
2454341.49988691,-1.933740,0.001825
2454341.50372937,-1.940405,0.001854
2454341.50756026,-1.944629,0.001812
2454341.51140273,-1.942050,0.001849
2454341.51524519,-1.945043,0.001798
2454341.51907608,-1.953690,0.001809
2454341.52291855,-1.949367,0.001814
2454341.52674944,-1.931944,0.001756
2454341.53058033,-1.931320,0.001452
2454341.53441122,-1.925980,0.001460
2454341.53825368,-1.926250,0.001468
2454341.54209615,-1.932344,0.001429
2454341.54592704,-1.941922,0.001439
2454341.54975793,-1.949527,0.001475
2454341.55358882,-1.966562,0.001422
2454341.55741971,-1.973625,0.001451
2454341.56126217,-1.992903,0.001471
2454341.56509306,-2.000965,0.001520
2454341.56892395,-2.008694,0.001511
2454341.57275485,-2.017081,0.001481
2454341.57659731,-2.023253,0.001521
2454341.58042820,-2.020927,0.001471
2454341.58425909,-2.014650,0.001490
2454341.58808998,-2.003499,0.001422
2454341.59192087,-1.996018,0.001555
2454341.59575176,-1.995705,0.001659
2454341.59959422,-1.999406,0.001529
2454341.60342512,-2.000024,0.001506
2454341.60725601,-1.999279,0.001556
2454341.61109847,-1.999848,0.001796
2454341.62311196,-2.010591,0.002110
2454341.62695442,-2.013453,0.002091
2454341.63078531,-2.012751,0.001987
2454341.63461620,-2.013979,0.002032
2454341.63844709,-2.021559,0.002021
2454341.64228956,-2.022013,0.001988
2454341.64612045,-2.024263,0.001914
2454341.64996291,-2.022652,0.001891
