# 468.06,521.44
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454301.59076060,-1.885697,0.001153
2454301.59458010,-1.880950,0.001153
2454301.59841118,-1.872569,0.001154
2454301.60224225,-1.869070,0.001138
2454301.60608490,-1.876350,0.001183
2454301.60991598,-1.885159,0.001121
2454301.61374705,-1.890680,0.001112
2454301.61757812,-1.901159,0.001093
2454301.62139762,-1.913066,0.001070
2454301.62522870,-1.924726,0.001241
2454301.62907135,-1.925965,0.001425
2454301.63290242,-1.946995,0.001005
2454301.63673349,-1.951186,0.001016
2454301.64056457,-1.960874,0.001014
2454301.64439564,-1.965026,0.000994
2454301.64822671,-1.955106,0.000980
2454301.65205779,-1.949208,0.000981
2454301.65588886,-1.944220,0.001014
2454301.65971994,-1.939702,0.000993
2454301.66355101,-1.940174,0.001008
2454301.66738208,-1.943583,0.001054
2454301.67121316,-1.946528,0.001045
2454301.67504423,-1.945934,0.001013
2454301.68886387,-1.951963,0.001016
2454301.69269495,-1.955365,0.000943
2454301.69652602,-1.957985,0.000968
2454301.70035710,-1.961561,0.001007
2454301.70419974,-1.962950,0.000999
2454301.70803082,-1.965733,0.001005
2454301.71186189,-1.967398,0.000995
2454301.71569296,-1.966817,0.001009
2454301.71952404,-1.974096,0.001141
2454301.72335511,-1.973069,0.001177
2454301.72718618,-1.971732,0.001011
2454301.73101726,-1.976470,0.000982
2454301.73484833,-1.978233,0.000992
2454301.73867940,-1.977210,0.000988
2454301.74251048,-1.981886,0.001004
2454301.74634155,-1.985206,0.000991
