# 419.65,469.71
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2453986.51647583,-1.810373,0.001200
2453986.52728554,-1.816522,0.000808
2453986.53809524,-1.822316,0.000784
2453986.54758556,-1.829776,0.000954
2453986.55498107,-1.817769,0.000865
2453986.56231871,-1.802515,0.000731
2453986.56964477,-1.809915,0.000733
2453986.57699398,-1.827524,0.000665
2453986.58435477,-1.848790,0.000672
2453986.59169241,-1.872308,0.000624
2453986.59904162,-1.888128,0.000608
2453986.60641398,-1.896703,0.000614
2453986.61375161,-1.883157,0.000666
2453986.62110082,-1.872539,0.000650
2453986.62845004,-1.876843,0.000630
2453986.63578767,-1.878529,0.000671
2453986.64316003,-1.883516,0.000708
2453986.65050924,-1.887427,0.000774
2453986.65805520,-1.893527,0.000743
2453986.66539284,-1.895785,0.000722
