# 633.77,683.62
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454301.59076060,-1.993209,0.002144
2454301.59458010,-1.980114,0.002111
2454301.59841118,-1.973161,0.002173
2454301.60224225,-1.962744,0.001639
2454301.60608490,-1.973696,0.002196
2454301.60991598,-1.974003,0.002143
2454301.61374705,-1.990274,0.002152
2454301.61757812,-2.003999,0.002075
2454301.62139762,-2.013208,0.002107
2454301.62522870,-2.026014,0.002177
2454301.62907135,-2.019542,0.002463
2454301.63290242,-2.049132,0.001990
2454301.63673349,-2.054293,0.002052
2454301.64056457,-2.056153,0.002045
2454301.64439564,-2.063694,0.002007
2454301.64822671,-2.061080,0.002004
2454301.65205779,-2.050740,0.001999
2454301.65588886,-2.037304,0.002039
2454301.65971994,-2.033344,0.002017
2454301.66355101,-2.037301,0.002039
2454301.66738208,-2.042011,0.002012
2454301.67121316,-2.042223,0.002104
2454301.67504423,-2.044662,0.002064
2454301.68886387,-2.048907,0.002120
2454301.69269495,-2.049413,0.001997
2454301.69652602,-2.049792,0.002009
2454301.70035710,-2.059589,0.002065
2454301.70419974,-2.058907,0.002031
2454301.70803082,-2.060473,0.002079
2454301.71186189,-2.061645,0.002048
2454301.71569296,-2.064716,0.002075
2454301.71952404,-2.065600,0.002246
2454301.72335511,-2.069200,0.002209
2454301.72718618,-2.071457,0.002092
2454301.73101726,-2.074040,0.002041
2454301.73484833,-2.066420,0.002072
2454301.73867940,-2.077772,0.002024
2454301.74251048,-2.072270,0.001889
2454301.74634155,-2.086792,0.002049
