# 419.65,469.71
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454301.59076060,-1.814495,0.001131
2454301.59458010,-1.809167,0.001121
2454301.59841118,-1.798362,0.001120
2454301.60224225,-1.800171,0.001104
2454301.60608490,-1.799229,0.001145
2454301.60991598,-1.810671,0.001094
2454301.61374705,-1.817356,0.001084
2454301.61757812,-1.827275,0.001058
2454301.62139762,-1.835033,0.001050
2454301.62522870,-1.846752,0.001207
2454301.62907135,-1.845559,0.001361
2454301.63290242,-1.870904,0.000971
2454301.63673349,-1.879686,0.000989
2454301.64056457,-1.889748,0.000979
2454301.64439564,-1.889729,0.000957
2454301.64822671,-1.888252,0.000950
2454301.65205779,-1.874752,0.000944
2454301.65588886,-1.864069,0.000980
2454301.65971994,-1.865900,0.000962
2454301.66355101,-1.863804,0.000968
2454301.66738208,-1.868570,0.001015
2454301.67121316,-1.870168,0.001007
2454301.67504423,-1.871264,0.000979
2454301.68886387,-1.880261,0.000969
2454301.69269495,-1.881674,0.000907
2454301.69652602,-1.881992,0.000935
2454301.70035710,-1.887039,0.000958
2454301.70419974,-1.888372,0.000972
2454301.70803082,-1.890144,0.000970
2454301.71186189,-1.891596,0.000951
2454301.71569296,-1.894926,0.000971
2454301.71952404,-1.901171,0.001087
2454301.72335511,-1.897730,0.001134
2454301.72718618,-1.900353,0.000965
2454301.73101726,-1.901802,0.000942
2454301.73484833,-1.904165,0.000952
2454301.73867940,-1.905052,0.000938
2454301.74251048,-1.907658,0.000964
2454301.74634155,-1.908420,0.000955
