# 377.96,421.46
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454301.59076060,-1.789814,0.001353
2454301.59458010,-1.796716,0.001343
2454301.59841118,-1.782566,0.001345
2454301.60224225,-1.772676,0.001350
2454301.60608490,-1.777427,0.001363
2454301.60991598,-1.785906,0.001345
2454301.61374705,-1.802910,0.001326
2454301.61757812,-1.814377,0.001332
2454301.62139762,-1.820647,0.001326
2454301.62522870,-1.827660,0.001368
2454301.62907135,-1.835195,0.001376
2454301.63290242,-1.851154,0.001294
2454301.63673349,-1.861737,0.001298
2454301.64056457,-1.870855,0.001291
2454301.64439564,-1.864637,0.001275
2454301.64822671,-1.863856,0.001272
2454301.65205779,-1.853469,0.001276
2454301.65588886,-1.839991,0.001288
2454301.65971994,-1.847911,0.001285
2454301.66355101,-1.844539,0.001284
2454301.66738208,-1.847864,0.001293
2454301.67121316,-1.848096,0.001299
2454301.67504423,-1.847952,0.001293
2454301.68886387,-1.858811,0.001283
2454301.69269495,-1.862454,0.001243
2454301.69652602,-1.862665,0.001265
2454301.70035710,-1.858709,0.001291
2454301.70419974,-1.873570,0.001280
2454301.70803082,-1.873483,0.001281
2454301.71186189,-1.877407,0.001272
2454301.71569296,-1.872526,0.001285
2454301.71952404,-1.874885,0.001330
2454301.72335511,-1.883798,0.001352
2454301.72718618,-1.883170,0.001275
2454301.73101726,-1.882608,0.001273
2454301.73484833,-1.881933,0.001274
2454301.73867940,-1.889803,0.001275
2454301.74251048,-1.886870,0.001278
2454301.74634155,-1.888772,0.001275
